t,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
1.246986202657807219e+01,6.023217536588959531e-01,-3.206274963206746931e-02,2.157728436972377456e-02,-1.509412598367165237e-01,-5.203969567958439957e-02,1.180262153519456153e-02,1.186784729519196474e-01,1.654027828166215047e-02,3.287409230836022683e-02
1.250320390365448375e+01,5.958014885704914221e-01,-3.387296983265074279e-02,2.250319748320092628e-02,-1.469427663654347127e-01,-5.148819305906501137e-02,1.289220899534099067e-02,1.211039533673110430e-01,1.650925269616400001e-02,3.248329188415082641e-02
1.253654578073089709e+01,5.893308369457687101e-01,-3.568974074790497164e-02,2.342966173588659218e-02,-1.428655935834357016e-01,-5.093879673154655396e-02,1.396872938527169566e-02,1.234382727279503961e-01,1.641431895493783433e-02,3.208604050804817615e-02
1.256988765780730866e+01,5.829026862283532839e-01,-3.751276618904401949e-02,2.435656109972906408e-02,-1.387114389337948395e-01,-5.039362464928789920e-02,1.503182663231722449e-02,1.257588545311953410e-01,1.625536624002140579e-02,3.167348909011876573e-02
1.260322953488372022e+01,5.765109141464592746e-01,-3.934190755315522536e-02,2.528383790359653438e-02,-1.344795210453367251e-01,-4.985482788553285277e-02,1.608083654491932607e-02,1.281381223970653183e-01,1.603053343706223668e-02,3.123593656236158325e-02
1.263657141196013178e+01,5.701503618688220643e-01,-4.117717611139661005e-02,2.621147182224640992e-02,-1.301667078822644763e-01,-4.932464849863221756e-02,1.711475614677494816e-02,1.306457071660208913e-01,1.573622148094578829e-02,3.076267178564569271e-02
1.266991328903654512e+01,5.638168195234352087e-01,-4.301872822439862382e-02,2.713946152150197716e-02,-1.257675748275559613e-01,-4.880547756100307721e-02,1.813220698735733619e-02,1.333504577489580400e-01,1.536707175147608920e-02,3.024177170916093546e-02
1.270325516611295669e+01,5.575070302383913212e-01,-4.486686330496868214e-02,2.806780781481558323e-02,-1.212743987415664249e-01,-4.829991446390798082e-02,1.913139101657446162e-02,1.363222835270773148e-01,1.491591236666087519e-02,2.965985801182495149e-02
1.273659704318936825e+01,5.512187184780064086e-01,-4.672202431309160214e-02,2.899649726138264771e-02,-1.166770931872847805e-01,-4.781082852777959746e-02,2.011003766722553598e-02,1.396338493872285869e-01,1.437367548810998714e-02,2.900181371555180659e-02
1.276993892026577981e+01,5.449506484605172174e-01,-4.858480052719162806e-02,2.992548517415435233e-02,-1.119630894576160302e-01,-4.734142382138638305e-02,2.106534083236831500e-02,1.433621336188107831e-01,1.372929032949514461e-02,2.825046132474259841e-02
