t,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
3.425940288184437854e+00,6.031164180433032929e-01,1.064066338740508877e-01,3.245905361420240443e-01,2.598646881428663402e-01,4.491110399973154144e-02,-2.368650526108118659e-01,-1.856795553311106906e-01,-1.235472965394356082e-01,-1.938255907210274798e-01
3.459201844380403124e+00,6.126335833913320039e-01,1.082784045005553419e-01,3.169031239491857388e-01,2.536956314320562011e-01,4.076789977976898183e-02,-2.433696872306559122e-01,-1.850746565156538015e-01,-1.258778842366051476e-01,-1.977260045913288300e-01
3.492463400576368393e+00,6.222018968390352622e-01,1.101594509622079998e-01,3.091218340231967066e-01,2.475529459665775089e-01,3.653731535900139882e-02,-2.500184018370482653e-01,-1.840450351388591976e-01,-1.288753372381486184e-01,-2.024860321728088886e-01
3.525724956772334107e+00,6.318335167047872680e-01,1.120497634667188686e-01,3.012132776922965549e-01,2.414523828743370126e-01,3.219471123612763219e-02,-2.568396883066837999e-01,-1.824739490213559412e-01,-1.326914179800916804e-01,-2.080327971271877796e-01
3.558986512968299376e+00,6.415391826237144546e-01,1.139466104395584212e-01,2.931347315267555098e-01,2.354142109472303901e-01,2.771026924726708793e-02,-2.638573909815479235e-01,-1.802082395614340582e-01,-1.374679411705370391e-01,-2.140929070592355321e-01
3.592248069164264646e+00,6.513249831901142262e-01,1.158425020094006053e-01,2.848331122336803523e-01,2.294643699000397385e-01,2.304991593535266059e-02,-2.710818148253005266e-01,-1.770623826888566565e-01,-1.432892037412549224e-01,-2.200317539476202289e-01
3.625509625360230359e+00,6.611867403174418456e-01,1.177223199127106767e-01,2.762454901158730713e-01,2.236354701632365105e-01,1.817822544223731199e-02,-2.784945880791991346e-01,-1.728329107468287995e-01,-1.501066152535644460e-01,-2.246473614135344465e-01
3.658771181556195629e+00,6.711018138570211677e-01,1.195594390016833930e-01,2.673024197083985198e-01,2.179669867534038963e-01,1.306435669806747454e-02,-2.860260564971637831e-01,-1.673405904227263097e-01,-1.576239255563358366e-01,-2.259370086499610797e-01
3.692032737752160898e+00,6.810177624093596283e-01,1.213111050155774168e-01,2.579364627990573533e-01,2.125034532588134240e-01,7.692591326795844217e-03,-2.935246210991171445e-01,-1.605110300827830572e-01,-1.651455652144532826e-01,-2.209095132278006968e-01
3.725294293948126612e+00,6.908390121749152790e-01,1.229143968203280646e-01,2.480983900748667814e-01,2.072892934590623293e-01,2.078359702277457650e-03,-3.007216448740634984e-01,-1.524945103158579784e-01,-1.714347206601915530e-01,-2.056307332775336727e-01
3.758555850144091881e+00,7.004160443500460076e-01,1.242852796184536479e-01,2.377818250164425162e-01,2.023590438099191480e-01,-3.711779863561344515e-03,-3.072038174801736687e-01,-1.438051471832407779e-01,-1.746810776078658867e-01,-1.757712223804317742e-01
3.791817406340057151e+00,7.095450006677213040e-01,1.253243523863353248e-01,2.270528897903942023e-01,1.977229274904534484e-01,-9.541969256174197278e-03,-3.124144936557440300e-01,-1.354112244691030309e-01,-1.727239972843592486e-01,-1.278729124886122670e-01
3.825078962536022864e+00,7.179874666781078663e-01,1.259326118421764118e-01,2.160739846626912875e-01,1.933510677054320337e-01,-1.520191774769233048e-02,-3.157103216095371589e-01,-1.286602795908537433e-01,-1.636430769007845565e-01,-6.120080784561790499e-02
3.858340518731988134e+00,7.255156566153073694e-01,1.260364928782421179e-01,2.051039089642537339e-01,1.891640452508538406e-01,-2.042801605300646750e-02,-3.164857618745350321e-01,-1.249536655989061107e-01,-1.466080128495647616e-01,2.063617465106346027e-02
3.891602074927953403e+00,7.319734024183894849e-01,1.256138998885661384e-01,1.944601008877155923e-01,1.850387609650122611e-01,-2.495473906404156728e-02,-3.143375390438849504e-01,-1.252437570324222704e-01,-1.225540312410246940e-01,1.095705409698622262e-01
3.924863631123919117e+00,7.373264606945320043e-01,1.247077320624421365e-01,1.844483505070610707e-01,1.808324407253983357e-01,-2.858069164733735568e-02,-3.091967884627522256e-01,-1.296156210992134017e-01,-9.416299923605590816e-02,1.951562153200285532e-01
3.958125187319884386e+00,7.416743555860700887e-01,1.234174847443589573e-01,1.752890470413728252e-01,1.764163264348793669e-01,-3.121875484538301146e-02,-3.013551401981668376e-01,-1.372303903255538138e-01,-6.501952014657091938e-02,2.680027701659333239e-01
3.991386743515849655e+00,7.452167797168727237e-01,1.218720635651197454e-01,1.670747950507304735e-01,1.717034480461829826e-01,-3.290599249371710389e-02,-2.913684100616550365e-01,-1.466771736122866598e-01,-3.840077391675389418e-02,3.226212171398364914e-01
4.024648299711815369e+00,7.481942536134369437e-01,1.201977826024711038e-01,1.597746153334638763e-01,1.666589043293384698e-01,-3.377329384458435668e-02,-2.798933727103519731e-01,-1.565009744280549953e-01,-1.638825164460189221e-02,3.582167342949663658e-01
4.057909855907780639e+00,7.508328315295798028e-01,1.184955700827786118e-01,1.532723538962904031e-01,1.612925161348587877e-01,-3.399618999977820077e-02,-2.675387179854805675e-01,-1.656046526192598012e-01,3.350693079845812653e-04,3.775168953272589056e-01
4.091171412103745908e+00,7.533116373909245489e-01,1.168326170106638862e-01,1.474139862964885528e-01,1.556423674105207877e-01,-3.375100399135021190e-02,-2.547797738526439426e-01,-1.733857828785743127e-01,1.214228451680903452e-02,3.848329974134512832e-01
4.124432968299711177e+00,7.557544201373378456e-01,1.152452039660020050e-01,1.420447176581252635e-01,1.497583542132644718e-01,-3.318844744217171183e-02,-2.419384292464219210e-01,-1.796650795054349770e-01,1.994622572994086962e-02,3.844723868751927509e-01
4.157694524495677335e+00,7.582363595791727917e-01,1.137466673837672360e-01,1.370299119088406181e-01,1.436904871336755485e-01,-3.242411897532253284e-02,-2.292034740489515832e-01,-1.845345344988230385e-01,2.478185133264498505e-02,3.799040666554570067e-01
4.190956080691642605e+00,7.607967985469455963e-01,1.123359285159206827e-01,1.322625891296650980e-01,1.374825426346066304e-01,-3.153988156069004872e-02,-2.166660283221493732e-01,-1.882165910779203255e-01,2.756801434707422879e-02,3.735434173254124635e-01
