t,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
1.416528942486085185e+01,4.505739524664459372e-01,-4.261553352890735946e-02,4.468052306387762518e-03,1.114269655598057462e-02,-1.544782166819440861e-01,7.917562448796301722e-03,6.389983055703983561e-02,6.657442714349684487e-02,3.441785655683490819e-02
1.419861951762523056e+01,4.501084365322888248e-01,-4.902884408194789490e-02,4.441935676485354867e-03,1.333674948246341141e-02,-1.520215175366702032e-01,9.178071072636288796e-03,6.820668413151120824e-02,8.355331035435584197e-02,4.236717000995797455e-02
1.423194961038960926e+01,4.497120035175673491e-01,-5.550093409957744528e-02,4.450894845912298919e-03,1.568936677448843492e-02,-1.489085375121809163e-01,1.074176586198848787e-02,7.332108387715409459e-02,1.065075695992250132e-01,5.272660814838937837e-02
1.426527970315398797e+01,4.494182253963298068e-01,-6.199337016701753772e-02,4.515541255578306434e-03,1.822434653688405348e-02,-1.449217031869688699e-01,1.269283655410999301e-02,7.889468240123126419e-02,1.362638778812236273e-01,6.553404451846391032e-02
1.429860979591836667e+01,4.492706417987386569e-01,-6.842925907218425086e-02,4.664858727840849248e-03,2.094850094058686718e-02,-1.398251621317506688e-01,1.511027742803910945e-02,8.420821110501136575e-02,1.727744467206260293e-01,8.030668477582351972e-02
1.433193988868274538e+01,4.493202721661976318e-01,-7.468271923622157860e-02,4.935889439008316407e-03,2.383768151218884288e-02,-1.334045265139436054e-01,1.804609506046579021e-02,8.812939568327855799e-02,2.144637496725091130e-01,9.580536741855621985e-02
1.436526998144712230e+01,4.496186067248362783e-01,-8.057770182138529469e-02,5.370323309505892900e-03,2.682322280737144821e-02,-1.255289687893883233e-01,2.149668099481079342e-02,8.923345554839483273e-02,2.577495851740727040e-01,1.099611405781154017e-01
1.439860007421150101e+01,4.502058608981110988e-01,-8.590448111638587791e-02,6.007136161196552360e-03,2.978600021441692863e-02,-1.162228913462797775e-01,2.537612509235668765e-02,8.615472044207882207e-02,2.972151551584367168e-01,1.201597660769620907e-01
1.443193016697587971e+01,4.510973725156304237e-01,-9.045721070119330798e-02,6.872419060822501820e-03,3.256631245621861154e-02,-1.057165514045686483e-01,2.950655329459312207e-02,7.810127529513541389e-02,3.267772185582480948e-01,1.239494237641177166e-01
1.446526025974025842e+01,4.522741185661866004e-01,-9.408377437712162061e-02,7.970182440822162762e-03,3.499224571562317698e-02,-9.443986133061579857e-02,3.363861667665529048e-02,6.528407180515792552e-02,3.415984337715294861e-01,1.199299209682255785e-01
