t,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
8.584413650045330968e+00,5.132080678193466916e-01,1.389958848082525344e-01,2.531943393686854060e-01,2.261513672375670483e-02,1.723503319317739712e-03,-3.572297662698154484e-03,1.901755415908552502e-02,-1.372031832897627939e-03,4.269734728719927139e-03
8.617686571169537402e+00,5.140701115040048341e-01,1.390590226900278448e-01,2.531798600534879151e-01,2.324730362093742342e-02,1.678321877077509558e-03,-3.430906911095264831e-03,1.898306935980884416e-02,-1.344331020410769253e-03,4.231737726598184569e-03
8.650959492293745612e+00,5.149338117495412259e-01,1.391240290141401437e-01,2.531638617709148775e-01,2.387838106276523459e-02,1.634043679303836009e-03,-3.290693111507292032e-03,1.895185435574983646e-02,-1.317559502467048052e-03,4.198666481664198313e-03
8.684232413417952046e+00,5.157990855453624679e-01,1.391908303540894121e-01,2.531465224127861791e-01,2.450847073121005873e-02,1.590643770273439308e-03,-3.151503113752738075e-03,1.892349405945520022e-02,-1.291372011393130412e-03,4.169912331297417896e-03
8.717505334542158479e+00,5.166658705383847527e-01,1.392593729493024068e-01,2.531280020325634705e-01,2.513766091323452884e-02,1.548108241149652410e-03,-3.013202783319060205e-03,1.889759720631424209e-02,-1.265447672206300228e-03,4.144936816665203451e-03
8.750778255666364913e+00,5.175341236512966958e-01,1.393296216846553748e-01,2.531084444985706172e-01,2.576602725377550446e-02,1.506433489105176880e-03,-2.875674802221294540e-03,1.887379387530076918e-02,-1.239485939142551509e-03,4.123263855682688175e-03
8.784051176790571347e+00,5.184038199153895299e-01,1.394015592103427792e-01,2.530879790426717735e-01,2.639363342308936530e-02,1.465625605374345618e-03,-2.738816717230215143e-03,1.885173284036882960e-02,-1.213202891328305031e-03,4.104472668575139330e-03
8.817324097914777781e+00,5.192749515041604758e-01,1.394751851982016788e-01,2.530667217051150164e-01,2.702053169347992320e-02,1.425699880883524433e-03,-2.602539211505368842e-03,1.883107878647476488e-02,-1.186327852900208400e-03,4.088191392421947935e-03
8.850597019038985991e+00,5.201475269550592806e-01,1.395505157300928334e-01,2.530447766777999541e-01,2.764676342138155940e-02,1.386680419220349351e-03,-2.466764577748782605e-03,1.881150941431797632e-02,-1.158600305512535707e-03,4.074091323528102049e-03
8.883869940163192425e+00,5.210215705679187570e-01,1.396275828136022690e-01,2.530222375494137199e-01,2.827235943141967120e-02,1.348599847723923632e-03,-2.331425372984237930e-03,1.879271244939709901e-02,-1.129767063956180033e-03,4.061881729399089563e-03
8.917142861287398858e+00,5.218971219697556840e-01,1.397064340201251698e-01,2.529991884567600047e-01,2.889734029945893387e-02,1.311499118404868200e-03,-2.196463236952478099e-03,1.877438256364855063e-02,-1.099579688492685874e-03,4.051305175297921848e-03
8.950415782411605292e+00,5.227742358367454267e-01,1.397871322402797212e-01,2.529757051472388829e-01,2.952171653181159122e-02,1.275427391233929786e-03,-2.061827857888681552e-03,1.875621821165896277e-02,-1.067792110452733248e-03,4.042133313702229828e-03
8.983688703535811726e+00,5.236529817652397778e-01,1.398697555515511226e-01,2.529518559578703418e-01,3.014548863774881016e-02,1.240441993068580172e-03,-1.927476071111792902e-03,1.873791837804289137e-02,-1.034158450638657765e-03,4.034163088347778210e-03
9.016961624660018160e+00,5.245334442846789624e-01,1.399543971930399255e-01,2.529277027165170444e-01,3.076864709226048017e-02,1.206608446117866029e-03,-1.793371077407118026e-03,1.871917922790874642e-02,-9.984310130964520191e-04,4.027213307862441243e-03
9.050234545784224593e+00,5.254157230061873296e-01,1.400411656421731155e-01,2.529033015710975274e-01,3.139117218566900291e-02,1.174000560375140084e-03,-1.659481769626067714e-03,1.869969064835326142e-02,-9.603584398977591929e-04,4.021121547210573625e-03
9.083507466908432804e+00,5.262999329014621530e-01,1.401301847881921137e-01,2.528787037526116777e-01,3.201303375623992808e-02,1.142700584874497324e-03,-1.525782157264747065e-03,1.867913266549457024e-02,-9.196840157111144153e-04,4.015741338235260735e-03
9.116780388032639237e+00,5.271862047073172519e-01,1.402215941971418633e-01,2.528539562777432081e-01,3.263419080136419070e-02,1.112799412947240892e-03,-1.392250880021431419e-03,1.865717171865828930e-02,-8.761441141677421334e-04,4.010939613491027768e-03
9.150053309156845671e+00,5.280746854518709732e-01,1.403155494629300393e-01,2.528291025966924455e-01,3.325459096223132294e-02,1.084396836866214839e-03,-1.258870802477460825e-03,1.863345677088773175e-02,-8.294667813691942310e-04,4.006594370277067295e-03
9.183326230281052105e+00,5.289655390988842187e-01,1.404122226387710115e-01,2.528041831917235971e-01,3.387416987618231679e-02,1.057601847363947266e-03,-1.125628683103592400e-03,1.860761523298056636e-02,-7.793704553846006206e-04,4.002592524316693490e-03
9.216599151405258539e+00,5.298589473071390055e-01,1.405118027429668182e-01,2.527792361317086067e-01,3.449285039014442222e-02,1.032532973489117076e-03,-9.925149117696032905e-04,1.857924867673861266e-02,-7.255628242842786539e-04,3.998827924883199478e-03
9.249872072529464972e+00,5.307551103019936267e-01,1.406144963324686969e-01,2.527542975877301590e-01,3.511054162771860832e-02,1.009318658117812351e-03,-8.595233108357646290e-04,1.854792831206251297e-02,-6.677398291983306427e-04,3.995199505348980169e-03
9.283144993653673183e+00,5.316542478563228702e-01,1.407205281369955097e-01,2.527294023145479906e-01,3.572713790163381531e-02,9.880976641523024455e-04,-7.266509957357106990e-04,1.851319020202028473e-02,-6.055848231279914885e-04,3.991609545154961233e-03
9.316417914777879616e+00,5.325566003779449442e-01,1.408301417456224724e-01,2.527045841024819772e-01,3.634251746241712322e-02,9.690195060099036830e-04,-5.938982917266213057e-04,1.847453019011887493e-02,-5.387679008281252022e-04,3.987962021080299242e-03
9.349690835902086050e+00,5.334624301003159097e-01,1.409436003366725532e-01,2.526798762039941804e-01,3.695654107327901727e-02,9.522449004152851778e-04,-4.612687041882371566e-04,1.843139851477316321e-02,-4.669454200745557838e-04,3.984161027457684516e-03
9.382963757026292484e+00,5.343720223727270735e-01,1.410611874404106292e-01,2.526553117389758185e-01,3.756905040039885957e-02,9.379462297470031549e-04,-3.287689405011455035e-04,1.838319408761441773e-02,-3.897597400867909979e-04,3.980109246660137531e-03
9.416236678150498918e+00,5.352856870454012483e-01,1.411832077224222937e-01,2.526309240824599067e-01,3.817986620705537265e-02,9.263080102366869680e-04,-1.964089821285400824e-04,1.832925841493195443e-02,-3.068392088525467420e-04,3.975706452815436047e-03
9.449509599274705351e+00,5.362037599437607938e-01,1.413099877736219978e-01,2.526067472381902657e-01,3.878878633940932574e-02,9.175273561590736003e-04,-6.420220606609022319e-05,1.826886914539106732e-02,-2.177984376455532379e-04,3.970848033321581518e-03
9.482782520398913562e+00,5.371266044246376659e-01,1.414418768905380541e-01,2.525828162011789502e-01,3.939558349126147385e-02,9.118144297631750744e-04,6.783444468930061575e-05,1.820123323251150033e-02,-1.222389081849763236e-04,3.965423514389314168e-03
9.516055441523119995e+00,5.380546130053116549e-01,1.415792478268283749e-01,2.525591673120675118e-01,4.000000273482661600e-02,9.093928650583778727e-04,1.996802415706102078e-04,1.812547970753739662e-02,-1.974996568561466104e-05,3.959315078574608335e-03
9.549328362647326429e+00,5.389882090539013237e-01,1.417224974938455229e-01,2.525358386057788840e-01,4.060175880455607622e-02,9.105001516622485830e-04,3.313104013198911349e-04,1.804065206757858239e-02,9.008974048822643841e-05,3.952396064147712697e-03
9.582601283771532863e+00,5.399278485267612337e-01,1.418720475844523210e-01,2.525128701565865219e-01,4.120053312137421375e-02,9.153879627171078925e-04,4.626957665586340068e-04,1.794570029573623604e-02,2.077102977396194465e-04,3.944529438248913292e-03
9.615874204895739297e+00,5.408740217350682666e-01,1.420283450901524969e-01,2.524903044213504533e-01,4.179597054547344592e-02,9.243224083690002816e-04,5.938024350618261284e-04,1.783947254481374131e-02,3.335479721868246520e-04,3.935566238173626372e-03
9.649147126019945730e+00,5.418272551186593677e-01,1.421918626769049510e-01,2.524681865822364091e-01,4.238767584713629133e-02,9.375841934565305128e-04,7.245913366023179741e-04,1.772070653462493039e-02,4.680419608714286341e-04,3.925343977899396417e-03
9.682420047144152164e+00,5.427881130003071597e-01,1.423630988796976693e-01,2.524465648897669112e-01,4.297520988705702538e-02,9.554686548627884610e-04,8.550177561858790130e-04,1.758802073554718848e-02,6.116303528602049736e-04,3.913685020225761250e-03
9.715692968268360374e+00,5.437571992879529637e-01,1.425425780700612655e-01,2.524254910065152346e-01,4.355808550046583877e-02,9.782856504323071516e-04,9.850308025682401845e-04,1.743990543837260765e-02,7.647451871502770979e-04,3.900394918736085209e-03
9.748965889392566808e+00,5.447351590858285908e-01,1.427308501441768573e-01,2.524050203511551405e-01,4.413576308318621633e-02,1.006359267447124199e-03,1.114572821154603821e-03,1.727471384345692640e-02,9.278064847616770755e-04,3.885260738333088434e-03
9.782238810516773242e+00,5.457226801678702888e-01,1.429284898721060737e-01,2.523852124418876630e-01,4.470764588277900686e-02,1.040027314404312706e-03,1.243578750755308139e-03,1.709065334126877791e-02,1.101215122517833775e-03,3.868049368471303956e-03
9.815511731640979676e+00,5.467204942582696292e-01,1.431360958409694240e-01,2.523661312374775867e-01,4.527307500435660825e-02,1.079640555271763232e-03,1.371975424237970378e-03,1.688577720244676880e-02,1.285344407386762675e-03,3.848505849544478063e-03
9.848784652765186109e+00,5.477293780543823765e-01,1.433542889167089274e-01,2.523478454732421827e-01,4.583132414873488519e-02,1.125561640573152647e-03,1.499680813911191245e-03,1.665797694898001752e-02,1.480530203673663739e-03,3.826351740300463263e-03
9.882057573889392543e+00,5.487501539165169362e-01,1.435837101405124105e-01,2.523304289883061546e-01,4.638159411058113968e-02,1.178163684649442258e-03,1.626603223534947183e-03,1.640497573959350669e-02,1.687059461807428537e-03,3.801283562775031790e-03
9.915330495013600753e+00,5.497836901373731600e-01,1.438250179672258544e-01,2.523139610392838295e-01,4.692300707639092405e-02,1.237828433382283030e-03,1.752640430221105456e-03,1.612432317213591954e-02,1.905156998201467961e-03,3.772971371170857034e-03
9.948603416137807187e+00,5.508309006911986661e-01,1.440788847444112453e-01,2.522985265942364608e-01,4.745460077675653365e-02,1.304943961710218004e-03,1.877678781208663109e-03,1.581339198366667892e-02,2.134970382235363076e-03,3.741057502413045084e-03
9.981876337262013621e+00,5.518927443491934426e-01,1.443459923224544583e-01,2.522842165992990604e-01,4.797532256474833223e-02,1.379901835643552403e-03,2.001592252618927467e-03,1.546937721446386103e-02,2.376552800623888892e-03,3.705155578801985847e-03
1.001514925838622005e+01,5.529702230336179802e-01,1.446270266787598180e-01,2.522711282087496398e-01,4.848402351255144682e-02,1.463093669475560438e-03,2.124241479861448990e-03,1.508929849409996159e-02,2.629843793460975507e-03,3.664849847215690803e-03
1.004842217951042649e+01,5.540643792687861557e-01,1.449226714331683374e-01,2.522593649675332061e-01,4.897945264197593046e-02,1.554907005861175598e-03,2.245472772415864869e-03,1.467000620402241287e-02,2.894647792525946103e-03,3.619694954511327740e-03
1.008169510063463292e+01,5.551762925731840159e-01,1.452336001280386535e-01,2.522490369333543203e-01,4.946025143118756850e-02,1.655720444841710191e-03,2.365117129291737820e-03,1.420819236848078725e-02,3.170610443772430617e-03,3.569216274821763926e-03
1.011496802175884113e+01,5.563070746240382780e-01,1.455604671458286259e-01,2.522402607234490723e-01,4.992494876996396436e-02,1.765897948283627833e-03,2.482989275590623789e-03,1.370040721959803372e-02,3.457192765231984540e-03,3.512910920865619166e-03
1.014824094288304757e+01,5.574578630146563851e-01,1.459038971405779428e-01,2.522331594690965795e-01,5.037195656876196359e-02,1.885782249219194020e-03,2.598886745264390036e-03,1.314308246662148315e-02,3.753643281887586707e-03,3.450249587470232901e-03
1.018151386400725400e+01,5.586298134169302987e-01,1.462644728686549322e-01,2.522278626588862482e-01,5.079956626244564594e-02,2.015687301976936026e-03,2.712589040356071408e-03,1.253256236563939259e-02,4.058968393328852599e-03,3.380679390236699441e-03
1.021478678513146043e+01,5.598240899578912355e-01,1.466427213199057444e-01,2.522245058498177039e-01,5.120594648691420558e-02,2.155889719612951935e-03,2.823856902659543922e-03,1.186514372391546390e-02,4.371901370700499029e-03,3.303627874348023623e-03
1.024805970625566687e+01,5.610418536217907093e-01,1.470390980744695208e-01,2.522232302236074308e-01,5.158914224495207701e-02,2.306619160917193836e-03,2.932431739729896361e-03,1.113712596972250141e-02,4.690870548284632735e-03,3.218508376265419128e-03
1.028133262737987330e+01,5.622842484997820911e-01,1.474539698446226677e-01,2.522241819642515592e-01,5.194707591479606756e-02,2.468047651126829660e-03,3.038035253341699743e-03,1.034487235902865725e-02,5.013967472418830867e-03,3.124726922401574371e-03
1.031460554850407974e+01,5.635523857299906680e-01,1.478875952067179589e-01,2.522275114321477774e-01,5.227755048903597046e-02,2.640277849375453553e-03,3.140369324577401908e-03,9.484883257539565571e-03,5.338915994829546499e-03,3.021690841372371133e-03
1.034787846962828795e+01,5.648473250039089955e-01,1.483401035870990925e-01,2.522333721101297499e-01,5.257825545979691317e-02,2.823330312696287897e-03,3.239116215395141177e-03,8.553882211816380907e-03,5.663043544646666726e-03,2.908819247349907471e-03
1.038115139075249438e+01,5.661700535629505815e-01,1.488114726390147857e-01,2.522419192978812008e-01,5.284677578531501302e-02,3.017129851743406612e-03,3.333939151340697526e-03,7.548915187557718280e-03,5.983256075709432811e-03,2.785555518395080223e-03
1.041442431187670081e+01,5.675214626738674939e-01,1.493015042357633826e-01,2.522533085336428060e-01,5.308060437901478135e-02,3.221491127642308987e-03,3.424483353496457667e-03,6.467462888903305340e-03,6.296018451358431113e-03,2.651381842404112576e-03
1.044769723300090725e+01,5.689023216554816020e-01,1.498097994085458851e-01,2.522676937262102737e-01,5.327715855046744053e-02,3.436103702400604941e-03,3.510377589165629333e-03,5.307565465552289627e-03,6.597342280847283760e-03,2.505835831690843892e-03
1.048097015412511368e+01,5.703132496330074463e-01,1.503357326747278289e-01,2.522852249862131968e-01,5.343380079320855097e-02,3.660516826322360306e-03,3.591236309452578400e-03,4.067958156714570131e-03,6.882783437407879838e-03,2.348529113086642722e-03
1.051424307524932011e+01,5.717546853204321655e-01,1.508784263309796980e-01,2.523060461538368937e-01,5.354786425223731494e-02,3.894124323256342377e-03,3.666662437040899350e-03,2.748215514414255583e-03,7.147451639958690185e-03,2.179167682702921188e-03
1.054751599637352832e+01,5.732268552748405188e-01,1.514367254219844416e-01,2.523302920306512154e-01,5.361668310929540437e-02,4.136150015633215105e-03,3.736250858298567623e-03,1.348900809334163372e-03,7.386034535641767575e-03,1.997573673777698448e-03
1.058078891749773476e+01,5.747297412262823979e-01,1.520091742330365592e-01,2.523580853361309106e-01,5.363762799270402337e-02,4.385634212306492932e-03,3.799592659615693736e-03,-1.282839161725929822e-04,7.592838642479218456e-03,1.803708025209124939e-03
1.061406183862194119e+01,5.762630472576473206e-01,1.525939952857732207e-01,2.523895334246784028e-01,5.360814634804677431e-02,4.641421858153294694e-03,3.856280128006331354e-03,-1.680352866069258601e-03,7.761849263153149797e-03,1.597693363262722276e-03
1.064733475974614763e+01,5.778261677833586019e-01,1.531890719302472781e-01,2.524247248161978208e-01,5.352580749595690912e-02,4.902153008928246403e-03,3.905912510128711941e-03,-3.302903446236878440e-03,7.886811027798852278e-03,1.379836228711343220e-03
1.068060768087035406e+01,5.794181574432117898e-01,1.537919357114813090e-01,2.524637256119424134e-01,5.338835185635175395e-02,5.166256340652244407e-03,3.948102492010802100e-03,-4.990003036205205300e-03,7.961330039108593937e-03,1.150647609143725780e-03
1.071388060199456049e+01,5.810377041754282157e-01,1.543997597311292380e-01,2.525065758866290588e-01,5.319374354109049352e-02,5.431946421798321961e-03,3.982483324410304379e-03,-6.734104207987551098e-03,7.978997664051027533e-03,9.108605876910174769e-04
1.074715352311876693e+01,5.826831068459108476e-01,1.550093592110836638e-01,2.525532861665331641e-01,5.294022522004263737e-02,5.697225460504643305e-03,4.008716476989585692e-03,-8.525997379590611117e-03,7.933534850384036524e-03,6.614438141509263120e-04
1.078042644424297514e+01,5.843522588724130440e-01,1.556172003828087402e-01,2.526038341200187443e-01,5.262637386445787047e-02,5.959890180424268213e-03,4.026499660122980807e-03,-1.035480971321141135e-02,7.818954476349972843e-03,4.036094631241868183e-04
1.081369936536718157e+01,5.860426392764430670e-01,1.562194186632686055e-01,2.526581616001004615e-01,5.225115568635493174e-02,6.217544371635354630e-03,4.035575008652614662e-03,-1.220805823240450963e-02,7.629737732744226557e-03,1.388143865109919297e-04
1.084697228649138800e+01,5.877513125074793621e-01,1.568118468291935241e-01,2.527161721864147337e-01,5.181397834716483519e-02,6.467617503984232977e-03,4.035737180389551565e-03,-1.407176354854391270e-02,7.361018984579020298e-03,-1.312466883772695034e-04
1.088024520761559444e+01,5.894749382023953821e-01,1.573900535657343780e-01,2.527777293747300313e-01,5.131473832909655419e-02,6.707389579770726452e-03,4.026841087232234211e-03,-1.593062822002460147e-02,7.008772091479625009e-03,-4.046568078664526452e-04
1.091351812873980087e+01,5.912097917626113475e-01,1.579493923505790320e-01,2.528426555543869525e-01,5.075386127471695485e-02,6.934022145938918691e-03,4.008808952288524068e-03,-1.776828065816926996e-02,6.569989930719551813e-03,-6.793018112833355349e-04
